email,senha,nome,sobrenome,cep,endereco,numero,complemento,cidade,apelido cartao,pan,dataexp,cvv,cpf
alfredo.martins@outlook.com,5e79af,Alfredo,Martins,268021044,Marechal Sandra de Pera Strozzi,1618,Casa,Monte Alegre do Sul,VISA teste,4556654067773850,0726,564,23130225862
emerson.rodrigues@outlook.com,ed368e,Emerson,Rodrigues,103522857,Presidente Fernando de Krum Queiroz,206,Casa,Porto Alegre,VISA teste,4486300056374430,1224,738,70715771306
enzo.dudeque@gmail.com,3ca8b6,Enzo,Dudeque,776654220,Marechal Sergipe,1237,Casa,Belo Horizonte,VISA teste,4716262969159500,0023,066,36163052284
ossian.souza@outlook.com,6ef7f3,Ossian,Souza,726571258,Presidente André Pedri Martins,367,Ap. 72,Belo Horizonte,VISA teste,4024007136626990,0728,125,21030600125
renan.dudeque@outlook.com,46c6da,Renan,Dudeque,267122358,Marechal José da Maruffa Padovani,1832,Ap. 31,Campo Largo,VISA teste,4153862882000010,0128,916,55277777580
natalie.campos@gmail.com,575141,Natalie,Campos,745707073,Coronel Daniel de Queiroz Meneghel,989,Casa,Florianópolis,VISA teste,4716555472942220,0425,813,21045056687
fernando.kniss@outlook.com,93a8b1,Fernando,Kniss,857180228,Presidente São Paulo,1769,Ap. 123,Vitória,VISA teste,4916469654224370,1123,223,05562706587
silvana.schumacher@outlook.com,3fbf03,Silvana,Schumacher,113214206,Marechal Dante Gallice Meneghel,1767,Casa,Divinópolis,VISA teste,4556150221421020,0828,564,21324855346
emerson.cremonezi@gmail.com,5b11de,Emerson,Cremonezi,156662871,Presidente Natalie de Shinohata Strozzi,528,Ap. 48,Campo Grande,VISA teste,4486807171656410,1227,640,88164456283
alfredo.yamada@bol.com.br,1ca24c,Alfredo,Yamada,016232875,Presidente Mato Grosso do Sul,690,Casa,Divinópolis,VISA teste,4916141624741060,0126,982,73525661838
eduardo.krum@outlook.com,7ad5cc,Eduardo,Krum,315855525,Marechal Amapá,223,Ap. 156,Aracaju,VISA teste,4929372027417420,0721,363,86105317750
denise.maruffa@outlook.com,cd0d9f,Denise,Maruffa,745888772,Presidente Jorge da Harres Andrade,1339,Casa,Belém,VISA teste,4929734066900580,0725,249,20580426428
thiago.pedri@outlook.com,30d23d,Thiago,Pedri,345128364,Presidente Amapá,1901,Ap. 112,Belo Horizonte,VISA teste,4929865997513450,0324,636,55353611222
josé.souza@outlook.com,cdc85f,José,Souza,423477775,Presidente Thiago Rodrigues Krajuska,111,Ap. 14,Porto Seguro,VISA teste,4539877343843070,0322,586,13752660043
emerson.barreto@bol.com.br,42743a,Emerson,Barreto,031473015,Marechal Maria de Queiroz Kruger,1036,Casa,Manaus,VISA teste,4486421634559020,0022,211,03352251666
alfredo.campos@outlook.com,54d54b,Alfredo,Campos,112856326,Marechal Enzo de Andrade Ameixa,1342,Ap. 190,Vitória,VISA teste,4471700593752680,0425,438,13042012210
livia.calopsita@bol.com.br,e56246,Livia,Calopsita,370300204,Presidente José Campos Campos,1580,Ap. 188,Curitiba,VISA teste,4929495484360170,0422,573,76258002330
eloisa.pereira@gmail.com,e05818,Eloisa,Pereira,014234275,Marechal Alan Krum Handa,255,Ap. 103,Campo Largo,VISA teste,4539760196751070,1124,823,73746451728
alfredo.harres@bol.com.br,f3a64b,Alfredo,Harres,733636706,Marechal Isabella Rodrigues Calopsita,115,Casa,Cuiabá,VISA teste,4767472922607560,0126,907,48483332801
caio.handa@gmail.com,5e64f0,Caio,Handa,077158154,Marechal Sandra Gomes Queiroz,1403,Casa,Belém,VISA teste,4486278290688340,1127,243,02226874404
andré.kovalski@gmail.com,5c9741,André,Kovalski,318543215,Presidente Luis Handa Martins,1546,Casa,Vitória,VISA teste,4916650443743800,0026,838,30456546040
emerson.yamada@outlook.com,854d55,Emerson,Yamada,372321470,Presidente Roberto Shinohata Sousa,277,Ap. 12,Palotina,VISA teste,4716567496314740,0126,373,57701483724
emerson.kawasaki@gmail.com,eb7aad,Emerson,Kawasaki,133343718,Marechal Natalie Padovani Yamada,951,Ap. 93,Salvador,VISA teste,4929333235843970,0223,762,71083613472
enzo.sousa@outlook.com,10e025,Enzo,Sousa,012138131,Coronel São Paulo,1907,Ap. 168,Monte Alegre do Sul,VISA teste,4916363814771900,0624,724,75070746648
laura.handa@outlook.com,0f0882,Laura,Handa,165184885,Marechal Ada Megumi Dudeque,768,Ap. 200,Cuiabá,VISA teste,4916789665881290,1124,236,13743340714
marcos.strozzi@outlook.com,09a87f,Marcos,Strozzi,308750317,Marechal Minas Gerais,996,Ap. 156,Nova Serrana,VISA teste,4539600960792820,0826,930,25007524722
pedro.pedri@gmail.com,e33bf8,Pedro,Pedri,822363544,Marechal Sandra Moreira Krajuska,21,Ap. 191,Campo Largo,VISA teste,4539600216166890,0726,386,17043285263
mariana.iboshi@bol.com.br,faa9fb,Mariana,Iboshi,123524850,Presidente Guilherme Yamada Pera,1905,Ap. 127,Aracaju,VISA teste,4916343121166960,0928,135,07177242411
eduardo.pereira@gmail.com,096aaa,Eduardo,Pereira,371142337,Marechal Marcos Queiroz Moreira,1713,Casa,Belém,VISA teste,4875413099047040,0621,041,66103651380
alfredo.krum@bol.com.br,a7d98e,Alfredo,Krum,311245650,Coronel Emerson Kovalski Iboshi,1285,Casa,Itapoá,VISA teste,4367962729421410,0728,437,35613162526
sílvio.andrade@bol.com.br,93bf7e,Sílvio,Andrade,504722812,Coronel Luiz Iboshi Megumi,1804,Ap. 180,Florianópolis,VISA teste,4539770169044690,1221,933,02730852652
alfredo.pedri@bol.com.br,94d4c0,Alfredo,Pedri,304475275,Presidente Sandra Dudeque Kruger,134,Ap. 82,Itapoá,VISA teste,4716635970675920,0923,823,34245473053
livia.gallice@outlook.com,c9293b,Livia,Gallice,536103480,Marechal Alan de Gomes Handa,1750,Ap. 15,Divinópolis,VISA teste,4833884320465940,0826,435,83531642108
alan.yamada@gmail.com,e0ae62,Alan,Yamada,527424451,Coronel Dante da Gil Megumi,412,Ap. 145,Maceió,VISA teste,4532257972892840,1223,419,64004150322
carolina.pereira@outlook.com,51ffba,Carolina,Pereira,405106680,Presidente Alfredo Harres Gomes,849,Casa,Itapoá,VISA teste,4539894250714480,0724,717,84847317488
marcos.franco@outlook.com,2a800e,Marcos,Franco,181377272,Marechal Fernando Souza Moreira,1496,Casa,São Paulo,VISA teste,4556244706231810,0429,032,73348642823
alan.kawasaki@outlook.com,72d2b8,Alan,Kawasaki,657438068,Coronel Thiago Dudeque Gallice,239,Ap. 19,Santa Maria,VISA teste,4929639852136840,0123,723,53083032275
emerson.ameixa@bol.com.br,5c113f,Emerson,Ameixa,176748168,Presidente Mariana Krajuska Kawasaki,1293,Casa,Vitória,VISA teste,4556374976858190,0421,222,40530415254
luiz.franco@gmail.com,ca66db,Luiz,Franco,134327430,Marechal Roberto Dencker Iboshi,436,Casa,Florianópolis,VISA teste,4556676167120190,0328,527,67387265424
renan.meneghel@gmail.com,f08435,Renan,Meneghel,532216526,Marechal Daniel da Shinohata Gil,1691,Ap. 179,Maceió,VISA teste,4694038897364730,1029,864,03261304546
andré.starosta@gmail.com,73a1a4,André,Starosta,574460683,Marechal Sílvio Krajuska Strozzi,641,Ap. 21,Curitibanos,VISA teste,4929141600383950,0828,392,81550231842
laura.campos@bol.com.br,90e630,Laura,Campos,878228855,Marechal Isabella Andrade Calopsita,1638,Casa,Divinópolis,VISA teste,4916047806960910,1125,102,64731832131
roberto.calopsita@gmail.com,93b453,Roberto,Calopsita,331822182,Marechal Luiz Strozzi Meneghel,1955,Casa,Campo Grande,VISA teste,4556900495898790,1226,362,73673810018
eduarda.kniss@gmail.com,99faa5,Eduarda,Kniss,681822552,Coronel Ada Kawasaki Calopsita,313,Casa,Belém,VISA teste,4929545596918920,1126,384,14456521030
eloisa.pera@outlook.com,7ae17f,Eloisa,Pera,768266186,Presidente Mariana de Kawasaki Martins,1630,Ap. 11,São Paulo,VISA teste,4532958915592430,0928,484,02681683022
alfredo.barreto@bol.com.br,63ec3f,Alfredo,Barreto,318015857,Presidente Mato Grosso,1972,Ap. 165,Rio de Janeiro,VISA teste,4556922760736240,1028,114,06406526848
ada.moreira@gmail.com,ed7681,Ada,Moreira,221472370,Coronel Jorge de Pedri Souza,1064,Ap. 64,Campo Grande,VISA teste,4539101125055130,1229,125,26647105536
renan.krajuska@gmail.com,1c66ac,Renan,Krajuska,053032244,Coronel Pará,1630,Ap. 130,Curitiba,VISA teste,4556881064704830,0924,869,60405688305
ossian.rodrigues@bol.com.br,e7ae14,Ossian,Rodrigues,342615210,Marechal Eduardo da Strozzi Schumacher,1576,Casa,Florianópolis,VISA teste,4024007105787020,0028,941,22562165872
marcos.krum@outlook.com,fd199b,Marcos,Krum,172506573,Coronel Mato Grosso,1230,Casa,Campo Grande,VISA teste,4556124676622370,0026,278,60177584852
sandra.moreira@gmail.com,5d6eea,Sandra,Moreira,420701428,Coronel Bahia,17,Ap. 77,Porto Alegre,VISA teste,4024007186074480,0221,526,68820441236
thiago.dudeque@bol.com.br,167ddd,Thiago,Dudeque,675045806,Presidente Ada Padovani Rodrigues,837,Ap. 117,Campo Largo,VISA teste,4916799105166650,0427,788,24836055146
enzo.calopsita@outlook.com,037da6,Enzo,Calopsita,646865111,Presidente Guilherme da Gil Gallice,1201,Casa,Cuiabá,VISA teste,4539194128616410,0728,597,43022845448
dante.pereira@bol.com.br,181a52,Dante,Pereira,778515661,Marechal Sergipe,1529,Casa,Vitória,VISA teste,4716984844370720,0224,698,66032284247
aline.yamada@outlook.com,15f17c,Aline,Yamada,677443340,Coronel Amapá,1170,Ap. 36,Campo Grande,VISA teste,4533940160927560,0024,937,05188834581
thiago.dudeque@outlook.com,167ddd,Thiago,Dudeque,453152703,Marechal Alagoas,765,Ap. 31,São Paulo,VISA teste,4532437546576980,0128,707,36721485663
júlia.handa@outlook.com,ad75da,Júlia,Handa,740372773,Marechal Fernando Martins Kniss,1180,Ap. 75,Nova Serrana,VISA teste,4716143097405200,0921,123,44842432127
sandra.dencker@gmail.com,f161fa,Sandra,Dencker,863428370,Presidente Renan de Andrade Gil,830,Ap. 12,Manaus,VISA teste,4532535648868510,0421,453,23165074562
fernando.vicente@gmail.com,b911e0,Fernando,Vicente,235232271,Marechal Renan Kovalski Yamada,189,Ap. 77,Itapoá,VISA teste,4929235403177250,0229,167,84126877872
luis.iboshi@gmail.com,ed1080,Luis,Iboshi,270157681,Presidente Sandra Maruffa Franco,570,Ap. 192,Rio de Janeiro,VISA teste,4532813624631800,0022,290,13034618186
natalie.sousa@outlook.com,67b736,Natalie,Sousa,451413563,Presidente Carolina Rodrigues Starosta,1096,Casa,Belém,VISA teste,4532932485286330,0329,040,51148346216
sandra.souza@outlook.com,fac3a8,Sandra,Souza,847804415,Coronel Eduardo Lopes Queiroz,930,Casa,Cuiabá,VISA teste,4024007159042250,1122,711,24545446417
silvana.gomes@outlook.com,0e8a2b,Silvana,Gomes,417512736,Marechal Natalie Kawasaki Maruffa,759,Ap. 64,Florianópolis,VISA teste,4500382441731090,1225,836,22773354414
thiago.pereira@gmail.com,b9fc31,Thiago,Pereira,117166202,Marechal Carolina Souza Dudeque,359,Ap. 106,Rio de Janeiro,VISA teste,4716147852497810,0724,704,60822480521
ada.dudeque@gmail.com,e176c9,Ada,Dudeque,423560717,Presidente Mato Grosso,188,Casa,Nova Serrana,VISA teste,4916417189639140,0725,723,51183312781
marcos.barreto@outlook.com,a55868,Marcos,Barreto,221223414,Marechal Roberto Queiroz Pera,1041,Casa,Campo Grande,VISA teste,4929127734406920,0729,927,76275762078
laura.schumacher@gmail.com,1a2925,Laura,Schumacher,476211463,Marechal Mato Grosso do Sul,56,Casa,Monte Alegre do Sul,VISA teste,4716809036414620,0027,665,51303078257
ada.dencker@outlook.com,100087,Ada,Dencker,762085667,Presidente Marcos Harres Iboshi,889,Casa,São Paulo,VISA teste,4716304781638120,0928,378,86068282552
mariana.olini@gmail.com,fc44c5,Mariana,Olini,563355111,Presidente Carolina Megumi Martins,1651,Casa,Belém,VISA teste,4955482769139780,1223,354,28626566388
edson.meneghel@bol.com.br,a1742f,Edson,Meneghel,263536338,Presidente Rio Grande do Sul,724,Ap. 107,Florianópolis,VISA teste,4716624823459560,0224,132,45347860335
roberto.handa@outlook.com,10d82f,Roberto,Handa,166577581,Coronel Enzo Olini Starosta,985,Ap. 74,Maceió,VISA teste,4716185892078140,0924,720,73383677264
marcus.gallice@outlook.com,7a0f97,Marcus,Gallice,555731585,Coronel Bahia,1692,Casa,Salvador,VISA teste,4929363974613050,0625,256,43816200341
eduarda.gomes@bol.com.br,f54802,Eduarda,Gomes,215352457,Marechal Dante de Schumacher Gomes,1598,Casa,Vitória,VISA teste,4486490155488730,0829,864,67647605446
pedro.maruffa@outlook.com,513ab8,Pedro,Maruffa,834886584,Coronel Alfredo Souza Pedri,293,Casa,Monte Alegre do Sul,VISA teste,4024007107783140,0226,541,21104880864
alfredo.kovalski@gmail.com,e8f274,Alfredo,Kovalski,827803832,Marechal Caio de Olini Kniss,115,Ap. 42,Porto Seguro,VISA teste,4486506507794420,0025,112,12852861878
fernando.franco@bol.com.br,071a57,Fernando,Franco,685324183,Coronel Marcos Franco Pereira,1971,Casa,Maceió,VISA teste,4024007157000050,0425,581,27480271385
sílvio.krajuska@bol.com.br,a97239,Sílvio,Krajuska,517638211,Coronel Pedro Maruffa Yamada,1734,Casa,Rio de Janeiro,VISA teste,4024007162204680,0524,821,05167112638
sandra.kawasaki@outlook.com,e6fb5d,Sandra,Kawasaki,358147871,Presidente Alfredo de Martins Franco,1629,Ap. 126,São Paulo,VISA teste,4716343517233760,0128,738,16434668165
andré.moreira@gmail.com,f57da5,André,Moreira,205327145,Presidente Ada Kniss Gil,1078,Casa,Belo Horizonte,VISA teste,4179923944834490,0522,584,35782255438
pedro.kniss@outlook.com,b8fa21,Pedro,Kniss,085002485,Presidente Júlia Gil Cremonezi,172,Ap. 167,Monte Alegre do Sul,VISA teste,4024007145582850,0622,898,41082376637
luna.kawasaki@outlook.com,0bf989,Luna,Kawasaki,455887855,Presidente Ada Calopsita Shinohata,623,Ap. 96,Campo Grande,VISA teste,4532725466387430,1122,709,76146761637
denise.sousa@outlook.com,4e1e5c,Denise,Sousa,527176338,Coronel Carolina Barreto Yamada,1440,Ap. 35,Monte Alegre do Sul,VISA teste,4556122815644790,0726,631,73422471371
renan.campos@bol.com.br,93813e,Renan,Campos,136133018,Marechal Luna da Yamada Megumi,565,Casa,Manaus,VISA teste,4556402262789710,1021,905,50422213513
emerson.barreto@outlook.com,42743a,Emerson,Barreto,131430610,Marechal Ossian de Campos Souza,189,Ap. 74,Porto Alegre,VISA teste,4934408724339540,0729,849,34045218503
enzo.barreto@gmail.com,34f703,Enzo,Barreto,613446767,Coronel Alfredo da Martins Gallice,902,Casa,Maceió,VISA teste,4532833493957490,0927,765,62613435366
alan.meneghel@bol.com.br,dae060,Alan,Meneghel,755088342,Coronel Amapá,1397,Casa,Porto Alegre,VISA teste,4024007196011740,0522,997,27813351641
thiago.rodrigues@outlook.com,f0772b,Thiago,Rodrigues,715281318,Presidente Emerson de Lopes Handa,1741,Casa,Porto Seguro,VISA teste,4539070447192620,0424,157,86721552486
laura.kovalski@gmail.com,c3e3bb,Laura,Kovalski,532623770,Coronel Enzo Kawasaki Yamada,1005,Casa,Campo Grande,VISA teste,4024007142856970,0722,679,57068177186
andré.queiroz@gmail.com,757323,André,Queiroz,727872654,Marechal Elaini de Cremonezi Rodrigues,1045,Ap. 171,Porto Alegre,VISA teste,4539931607814490,1229,828,80704200082
roberto.gil@outlook.com,db4fa9,Roberto,Gil,784644658,Marechal André Yamada Handa,770,Ap. 189,Vitória,VISA teste,4486726423787810,0122,499,02282307323
renan.gil@outlook.com,af50cc,Renan,Gil,233803720,Marechal Livia de Kruger Sousa,920,Casa,Monte Alegre do Sul,VISA teste,4024007173220130,0826,115,01452282446
carolina.kruger@gmail.com,7999d2,Carolina,Kruger,146145236,Coronel Eduardo Yamada Pereira,1765,Ap. 23,Cuiabá,VISA teste,4716993961081870,0426,477,76230131514
emerson.krum@outlook.com,03f0f7,Emerson,Krum,364731107,Marechal Alan de Barreto Calopsita,1861,Casa,Santa Maria,VISA teste,4486450479133370,1122,975,37214741760
elaini.queiroz@gmail.com,a5cc43,Elaini,Queiroz,046738072,Presidente Renan de Strozzi Calopsita,67,Ap. 44,Campo Largo,VISA teste,4532484593410620,1123,481,65330351570
dante.sousa@outlook.com,5a6154,Dante,Sousa,083257025,Coronel Livia da Maruffa Kruger,1894,Casa,Curitiba,VISA teste,4556253326879340,1124,951,66860473358
livia.strozzi@bol.com.br,7d0f00,Livia,Strozzi,763347305,Presidente Edson de Martins Kniss,459,Ap. 159,Monte Alegre do Sul,VISA teste,4486291463388420,0826,336,05523614314
livia.moreira@outlook.com,6d626f,Livia,Moreira,518580738,Coronel Aline de Meneghel Rodrigues,794,Ap. 167,Cuiabá,VISA teste,4532563091502160,0825,197,51688317641
roberto.souza@gmail.com,29ecba,Roberto,Souza,612624758,Coronel Enzo da Padovani Franco,230,Casa,Aracaju,VISA teste,4486915987303060,0326,095,03673034735
emerson.kruger@outlook.com,fa595a,Emerson,Kruger,783413877,Presidente Júlia da Moreira Vicente,1732,Casa,Monte Alegre do Sul,VISA teste,4024007199015980,0927,467,84468206638
amadeus.gil@bol.com.br,cc9098,Amadeus,Gil,483804510,Presidente Thiago de Starosta Barreto,1995,Casa,São Paulo,VISA teste,4916889373841600,0723,452,32381783588
mariana.ameixa@outlook.com,466055,Mariana,Ameixa,100034104,Presidente Santa Catarina,1,Casa,Palotina,VISA teste,4486471282904210,0926,102,27135416071
alan.krajuska@outlook.com,5d50f9,Alan,Krajuska,328182712,Marechal Alfredo Pedri Dencker,245,Ap. 57,Belém,VISA teste,4777712017631310,0425,433,75137200658
maria.megumi@outlook.com,90f038,Maria,Megumi,800146882,Presidente Dante da Dencker Dudeque,1968,Casa,Manaus,VISA teste,4024007137928980,1122,724,34537470801
dante.vicente@outlook.com,df4200,Dante,Vicente,813458628,Presidente Dante da Ameixa Martins,1644,Ap. 54,Salvador,VISA teste,4556541619336720,0323,100,07451256010
renan.dencker@gmail.com,6e8825,Renan,Dencker,730867221,Presidente José Padovani Sousa,430,Ap. 166,Cuiabá,VISA teste,4532515973242540,0326,299,52523865723
isabella.yamada@outlook.com,17957e,Isabella,Yamada,181786340,Presidente Isabella Megumi Handa,1460,Casa,Nova Serrana,VISA teste,4024007187428340,1124,743,41762523288
denise.shinohata@gmail.com,8d8ed7,Denise,Shinohata,130768226,Marechal Amadeus Gomes Gallice,765,Ap. 152,Itapoá,VISA teste,4716678581636130,0529,945,88267103850
amadeus.queiroz@outlook.com,4be895,Amadeus,Queiroz,241812266,Coronel Thiago Gil Pedri,38,Casa,Palotina,VISA teste,4929143733238850,1229,147,81325888487
júlia.harres@gmail.com,7bced7,Júlia,Harres,088055454,Marechal Júlia da Lopes Lopes,1556,Ap. 69,Aracaju,VISA teste,4976073222511300,0221,757,72428452831
aline.kovalski@gmail.com,e91a8c,Aline,Kovalski,711510077,Coronel Minas Gerais,751,Ap. 110,Nova Serrana,VISA teste,4929552613103120,0924,956,28800515231
livia.krajuska@gmail.com,70003f,Livia,Krajuska,656227752,Marechal Marcus Dudeque Moreira,1388,Ap. 81,Campo Grande,VISA teste,4916376928235180,0323,719,65081772878
aline.barreto@bol.com.br,3ba025,Aline,Barreto,161765807,Presidente Fernando de Pera Shinohata,881,Casa,Manaus,VISA teste,4539365824091370,0428,271,04737447218
natalie.souza@gmail.com,be5155,Natalie,Souza,421750187,Presidente Roberto da Lopes Schumacher,463,Ap. 142,Aracaju,VISA teste,4790429662345630,1221,237,47660466483
luiz.olini@bol.com.br,cabcbf,Luiz,Olini,553153551,Presidente Thiago Sousa Gil,355,Ap. 28,Porto Alegre,VISA teste,4486332368577360,0927,362,03714802625
eduardo.strozzi@bol.com.br,fc706b,Eduardo,Strozzi,454760818,Marechal Mariana Vicente Pera,328,Ap. 60,Manaus,VISA teste,4556519141838840,0823,134,43774050301
josé.martins@bol.com.br,550872,José,Martins,182007772,Presidente Amapá,1288,Casa,Maceió,VISA teste,4556970653593570,0423,901,21745276114
dante.barreto@outlook.com,7169b5,Dante,Barreto,100116445,Presidente Renan Handa Dudeque,615,Ap. 164,Nova Serrana,VISA teste,4532678068557630,0625,419,86031585702
guilherme.moreira@gmail.com,675f64,Guilherme,Moreira,307556800,Presidente Marcos Martins Vicente,631,Casa,Divinópolis,VISA teste,4831433603382790,0128,715,60736032144
alfredo.gallice@gmail.com,7892b8,Alfredo,Gallice,355143478,Marechal Marcos de Franco Kawasaki,358,Casa,Rio de Janeiro,VISA teste,4239363424701470,1126,879,84375538748
jorge.dencker@bol.com.br,a555db,Jorge,Dencker,330606550,Coronel Daniel Sousa Martins,1192,Casa,Divinópolis,VISA teste,4486556291895330,0526,294,43515276417
caio.handa@outlook.com,5e64f0,Caio,Handa,453757014,Marechal Daniel Yamada Kovalski,1559,Ap. 4,Salvador,VISA teste,4539995541621420,0826,926,44008511080
thiago.handa@outlook.com,df67de,Thiago,Handa,403315836,Coronel Amazonas,1552,Ap. 174,Divinópolis,VISA teste,4486929313415210,0227,640,46856256388
enzo.gil@outlook.com,b5b862,Enzo,Gil,250562687,Presidente Júlia Gallice Ameixa,566,Casa,Campo Grande,VISA teste,4024007125351370,0224,406,70632236667
daniel.meneghel@outlook.com,0da768,Daniel,Meneghel,487424151,Presidente Carolina Kawasaki Kovalski,1100,Casa,Divinópolis,VISA teste,4911113985086650,1229,446,03737264367
andré.moreira@outlook.com,f57da5,André,Moreira,222710486,Presidente Guilherme Pereira Gomes,386,Casa,Aracaju,VISA teste,4024007111890330,0322,675,43663386483
luna.cremonezi@bol.com.br,7073bb,Luna,Cremonezi,471122373,Coronel Silvana Harres Gallice,1650,Casa,Belém,VISA teste,4556114932085820,1025,757,56785063611
natalie.meneghel@outlook.com,d02dc3,Natalie,Meneghel,177386014,Marechal Jorge de Starosta Martins,601,Casa,Divinópolis,VISA teste,4539651390585560,0521,267,25222440126
elaini.sousa@bol.com.br,97b7c9,Elaini,Sousa,767345620,Marechal Rio Grande do Sul,761,Casa,Santa Maria,VISA teste,4556983107900960,1227,837,24050650874
elaini.kovalski@gmail.com,3f9e23,Elaini,Kovalski,753116834,Coronel Santa Catarina,1645,Ap. 22,Campo Largo,VISA teste,4486002260179250,0325,857,81165062375
denise.kawasaki@outlook.com,54b5fc,Denise,Kawasaki,821360052,Presidente Thiago da Queiroz Olini,443,Ap. 123,Palotina,VISA teste,4556444364587880,0523,237,44652121778
emerson.krum@outlook.com,03f0f7,Emerson,Krum,117557828,Presidente Emerson da Franco Maruffa,1829,Casa,Campo Grande,VISA teste,4539145612867500,0229,501,58300228330
júlia.iboshi@outlook.com,0d83b6,Júlia,Iboshi,654415476,Coronel Enzo de Kawasaki Olini,1857,Casa,Cuiabá,VISA teste,4929702958248210,0529,042,04138736701
antonio.starosta@bol.com.br,4dde74,Antonio,Starosta,458728151,Coronel Livia de Krajuska Iboshi,109,Ap. 104,Rio de Janeiro,VISA teste,4539185430133650,0522,674,06433441636
jorge.kawasaki@outlook.com,1ba654,Jorge,Kawasaki,421131717,Coronel Amapá,694,Ap. 142,Campo Largo,VISA teste,4929653598265400,0124,404,54720170402
laura.gallice@bol.com.br,2fc3fa,Laura,Gallice,414773011,Presidente Jorge de Maruffa Schumacher,1182,Ap. 163,Divinópolis,VISA teste,4539400337562050,0421,852,58842434536
fernando.shinohata@outlook.com,6ddc69,Fernando,Shinohata,481648327,Marechal José da Iboshi Kruger,1938,Ap. 44,Itapoá,VISA teste,4024007170700220,0022,921,84582868785
ossian.yamada@gmail.com,2dd2fa,Ossian,Yamada,735161112,Presidente Carolina Iboshi Gomes,880,Casa,São Paulo,VISA teste,4916101566917320,0025,368,51306610638
antonio.kawasaki@outlook.com,081e21,Antonio,Kawasaki,708501188,Marechal Alan Martins Franco,772,Casa,Cuiabá,VISA teste,4916672414200220,1229,146,86630747882
mariana.gomes@outlook.com,a9c76a,Mariana,Gomes,758571343,Marechal Silvana de Kniss Moreira,388,Ap. 107,Curitiba,VISA teste,4929922739551840,1228,361,43734086635
sandra.lopes@outlook.com,d6e128,Sandra,Lopes,151353375,Coronel Roberto Dudeque Yamada,1157,Ap. 108,Santa Maria,VISA teste,4024007181107880,0824,258,23563631653
andré.lopes@gmail.com,3a7a3e,André,Lopes,370152385,Coronel Marcos da Megumi Handa,868,Ap. 165,Salvador,VISA teste,4556152548612950,0425,934,27707044316
jorge.ameixa@gmail.com,671007,Jorge,Ameixa,147370680,Marechal Ossian Queiroz Strozzi,1639,Ap. 87,Maceió,VISA teste,4532468044673060,0727,112,62102106380
mariana.andrade@bol.com.br,8cba0c,Mariana,Andrade,781213463,Presidente Isabella da Olini Gil,308,Casa,Curitibanos,VISA teste,4916625035268400,0126,701,71617351422
renan.shinohata@outlook.com,2b5227,Renan,Shinohata,438834586,Coronel Ada Schumacher Franco,1070,Ap. 181,Maceió,VISA teste,4802416269495760,0327,827,28314580716
marcos.moreira@outlook.com,e34696,Marcos,Moreira,056528314,Presidente Mato Grosso do Sul,1533,Ap. 196,Palotina,VISA teste,4556397993545010,1223,423,22481513038
josé.gomes@bol.com.br,37a40a,José,Gomes,357356001,Coronel Ada Vicente Schumacher,72,Casa,Itapoá,VISA teste,4532725252496260,0226,251,16426636107
carolina.andrade@outlook.com,fc5de4,Carolina,Andrade,340542420,Marechal Santa Catarina,912,Ap. 116,Palotina,VISA teste,4716850328432170,0323,544,21274423287
